sc_key,sc_name,sc_key_old,gl_rgn_id,gl_rgn_name,gl_rgn_key,sc_annex_dir,default_scenario
bhi-swe,Sweden,sweden,222,Sweden,SWE,/Volumes/data_edit/git-annex/clip-n-ship/bhi-swe,region2015
bhi-fin,Finland,finland,174,Finland,FIN,/Volumes/data_edit/git-annex/clip-n-ship/bhi-fin,region2015
bhi-dnk,Denmark,denmark,175,Denmark,DNK,/Volumes/data_edit/git-annex/clip-n-ship/bhi-dnk,region2015
bhi-deu,Germany,germany,176,Germany,DEU,/Volumes/data_edit/git-annex/clip-n-ship/bhi-deu,region2015
bhi-est,Estonia,estonia,70,Estonia,EST,/Volumes/data_edit/git-annex/clip-n-ship/bhi-est,region2015
bhi-pol,Poland,poland,178,Poland,POL,/Volumes/data_edit/git-annex/clip-n-ship/bhi-pol,region2015
bhi-lva,Latvia,latvia,69,Latvia,LVA,/Volumes/data_edit/git-annex/clip-n-ship/bhi-lva,region2015
bhi-ltu,Lithuania,lithuania,189,Lithuania,LTU,/Volumes/data_edit/git-annex/clip-n-ship/bhi-ltu,region2015
bhi-rus,Russia,russia,73,Russia,RUS,/Volumes/data_edit/git-annex/clip-n-ship/bhi-rus,region2015
bhi,Baltic,baltic,,Baltic,BHI,/Volumes/data_edit/git-annex/clip-n-ship/bhi,baltic2015
