"rgn_id","rgn_name","area_km2","cntry_name","basin_name","sc_key","baltic_rgn_key","sc_id"
1,"SE_BB",18604.3,"Sweden","Bothnian Bay","bhi-swe","swe",1
2,"SE_BS",34326.9,"Sweden","Bothnian Sea","bhi-swe","swe",2
3,"SE_BP",87672.6,"Sweden","Baltic Proper","bhi-swe","swe",3
4,"SE_KT",6609.47,"Sweden","Kattegat","bhi-swe","swe",4
5,"SE_SO",943.798,"Sweden","The Sound","bhi-swe","swe",5
6,"FI_BB",16964,"Finland","Bothnian Bay","bhi-fin","fin",1
7,"FI_BS",30031.4,"Finland","Bothnian Sea","bhi-fin","fin",2
8,"FI_AS",12937.4,"Finland","Archipelago Sea","bhi-fin","fin",3
9,"FI_GF",9463.7,"Finland","Gulf of Finland","bhi-fin","fin",4
10,"FI_BP",10240.4,"Finland","Baltic Proper","bhi-fin","fin",5
11,"DK_BP",12605.4,"Denmark","Baltic Proper","bhi-dnk","dnk",1
12,"DK_KT",16231.4,"Denmark","Kattegat","bhi-dnk","dnk",2
13,"DK_SO",1345.03,"Denmark","The Sound","bhi-dnk","dnk",3
14,"DK_WB",12270,"Denmark","Western Baltic","bhi-dnk","dnk",4
15,"DE_BP",9504.24,"Germany","Baltic Proper","bhi-deu","deu",1
16,"DE_WB",5494.21,"Germany","Western Baltic","bhi-deu","deu",2
17,"PL_BP",31833.4,"Poland","Baltic Proper","bhi-pol","pol",1
18,"RU_GF",11272.4,"Russia","Gulf of Finland","bhi-rus","rus",1
19,"RU_BP",11477.4,"Russia","Baltic Proper","bhi-rus","rus",2
20,"LT_BP",6082.96,"Lithuania","Baltic Proper","bhi-ltu","ltu",1
21,"LV_BP",20970.3,"Latvia","Baltic Proper","bhi-lva","lva",1
22,"LV_GR",7834.11,"Latvia","Gulf of Riga","bhi-lva","lva",2
23,"ES_GF",8123.33,"Estonia","Gulf of Finland","bhi-est","est",1
24,"ES_BP",17208.8,"Estonia","Baltic Proper","bhi-est","est",2
25,"ES_GR",10203,"Estonia","Gulf of Riga","bhi-est","est",3
