rgn_name,rgn_id
Rhode Island,1
New York,2
Connecticut,3
Massachusetts-Gulf of Maine,4
Massachusetts-Virginian,5
New Hampshire,6
Maine,7
Gulf of Maine/Bay of Fundy,8
Virginian,9
