rgn_id,rgn_name,area_km2
1,Gulf - Outer,102524.0
2,Gulf - Inner,132558.0
3,Gulf - Estuary,10468.0
4,NL-Labrador Shelves,1045484.03382
5,Scotian Shelf,431126.325497
