"sc_rgn_id","sc_rgn_name","gl_rgn_name","gl_rgn_key"
1,"Alaska","United States","USA"
2,"Nunavut","Canada","CAN"
3,"Beaufort Sea","Canada","CAN"
4,"Russia","Russia","RUS"
5,"Svalbard","Norway","NOR"
6,"Norway","Norway","NOR"
7,"Jan Mayen","Norway","NOR"
8,"West Greenland","Greenland","GRL"
9,"East Greenland","Greenland","GRL"
