"rgn_name","rgn_id","area_km2"
"Aisén",11,521501.115836
"Antofagasta",2,246344.270418
"Araucanía",9,67192.5052851
"Arica y Parinacota",15,31578.4712402
"Atacama",3,181188.981644
"Bío-Bío",8,219147.182803
"Coquimbo",4,155825.923927
"O'Higgins",6,54314.9769115
"Los Lagos",10,358910.513219
"Los Ríos",14,61740.0849728
"Magallanes",12,1754538.24735
"Maule",7,67250.7144884
"Tarapacá",1,105353.430151
"Easter Island",17,909197.461023
"Valparaíso",5,77056.7017324
"Juan Fernandez y Desventuradas",16,1337039.54872
